,Unnamed: 0,artist,collab_songs,type,genres,collab_individuals,country,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,main_genres,Avg_Concert_Fee

0,0,Arcángel,163,Man,latin,37,Puerto Rico,La Jumpa,Sr. Santos,album,0.887,0.234,9.0,-14.52,0.178,0.111,0.67,0.13,0.197,140.02,196800.0,94277360.0,1169191.0,19352.0,Latin,3730000.0
1,1,Arcángel,163,Man,latin,37,Puerto Rico,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),single,0.815,0.514,6.0,-9.446,0.361,0.54,0.0,0.611,0.623,120.054,264000.0,1418634060.0,7031561.0,243371.0,Latin,3730000.0
2,2,Arcángel,163,Man,latin,37,Puerto Rico,Si Se Da - Remix,Si Se da Remix,single,0.817,0.672,11.0,-5.612,0.299,0.441,0.0,0.13,0.774,93.999,332240.0,1202918104.0,3283924.0,54002.0,Latin,3730000.0
3,3,Arcángel,163,Man,latin,37,Puerto Rico,Bottas,Sr. Santos,album,0.907,0.644,2.0,-5.522,0.353,0.392,0.0,0.543,0.721,123.979,191664.0,7088362.0,239476.0,6105.0,Latin,3730000.0
4,4,Arcángel,163,Man,latin,37,Puerto Rico,JS4E,Sr. Santos,album,0.762,0.773,7.0,-7.663,0.0814,0.36,0.0,0.272,0.337,115.055,237750.0,64732289.0,770572.0,14349.0,Latin,3730000.0
5,5,Arcángel,163,Man,latin,37,Puerto Rico,Pa' Que La Pases Bien,El Fenomeno,album,0.897,0.755,9.0,-5.684,0.144,0.00758,0.000451,0.264,0.567,110.008,214120.0,99776202.0,313239.0,12258.0,Latin,3730000.0
6,6,Arcángel,163,Man,latin,37,Puerto Rico,Infeliz,Historias de un Capricornio,album,0.713,0.798,1.0,-3.147,0.219,0.366,4.3e-06,0.246,0.721,176.073,221103.0,14334.0,337.0,8.0,Latin,3730000.0
7,7,Arcángel,163,Man,latin,37,Puerto Rico,La Ruta,Sr. Santos,album,0.554,0.661,0.0,-5.662,0.336,0.431,0.0,0.299,0.549,99.915,184146.0,9008576.0,152734.0,2137.0,Latin,3730000.0
8,8,Arcángel,163,Man,latin,37,Puerto Rico,Me Ama Me Odia,Me Ama Me Odia,single,0.735,0.603,6.0,-9.474,0.203,0.226,3.56e-05,0.0844,0.429,135.993,326937.0,268014018.0,1488605.0,34585.0,Latin,3730000.0
9,9,Arcángel,163,Man,latin,37,Puerto Rico,Me Acostumbre (feat. Bad Bunny),Me Acostumbre (feat. Bad Bunny),single,0.808,0.586,10.0,-7.242,0.169,0.641,0.0,0.14,0.568,124.041,263288.0,765035383.0,3431361.0,91522.0,Latin,3730000.0
10,10,Arcángel,163,Man,reggaeton,37,Puerto Rico,La Jumpa,Sr. Santos,album,0.887,0.234,9.0,-14.52,0.178,0.111,0.67,0.13,0.197,140.02,196800.0,94277360.0,1169191.0,19352.0,Latin,3730000.0
11,11,Arcángel,163,Man,reggaeton,37,Puerto Rico,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),single,0.815,0.514,6.0,-9.446,0.361,0.54,0.0,0.611,0.623,120.054,264000.0,1418634060.0,7031561.0,243371.0,Latin,3730000.0
12,12,Arcángel,163,Man,reggaeton,37,Puerto Rico,Si Se Da - Remix,Si Se da Remix,single,0.817,0.672,11.0,-5.612,0.299,0.441,0.0,0.13,0.774,93.999,332240.0,1202918104.0,3283924.0,54002.0,Latin,3730000.0
13,13,Arcángel,163,Man,reggaeton,37,Puerto Rico,Bottas,Sr. Santos,album,0.907,0.644,2.0,-5.522,0.353,0.392,0.0,0.543,0.721,123.979,191664.0,7088362.0,239476.0,6105.0,Latin,3730000.0
14,14,Arcángel,163,Man,reggaeton,37,Puerto Rico,JS4E,Sr. Santos,album,0.762,0.773,7.0,-7.663,0.0814,0.36,0.0,0.272,0.337,115.055,237750.0,64732289.0,770572.0,14349.0,Latin,3730000.0
15,15,Arcángel,163,Man,reggaeton,37,Puerto Rico,Pa' Que La Pases Bien,El Fenomeno,album,0.897,0.755,9.0,-5.684,0.144,0.00758,0.000451,0.264,0.567,110.008,214120.0,99776202.0,313239.0,12258.0,Latin,3730000.0
16,16,Arcángel,163,Man,reggaeton,37,Puerto Rico,Infeliz,Historias de un Capricornio,album,0.713,0.798,1.0,-3.147,0.219,0.366,4.3e-06,0.246,0.721,176.073,221103.0,14334.0,337.0,8.0,Latin,3730000.0
17,17,Arcángel,163,Man,reggaeton,37,Puerto Rico,La Ruta,Sr. Santos,album,0.554,0.661,0.0,-5.662,0.336,0.431,0.0,0.299,0.549,99.915,184146.0,9008576.0,152734.0,2137.0,Latin,3730000.0
18,18,Arcángel,163,Man,reggaeton,37,Puerto Rico,Me Ama Me Odia,Me Ama Me Odia,single,0.735,0.603,6.0,-9.474,0.203,0.226,3.56e-05,0.0844,0.429,135.993,326937.0,268014018.0,1488605.0,34585.0,Latin,3730000.0
19,19,Arcángel,163,Man,reggaeton,37,Puerto Rico,Me Acostumbre (feat. Bad Bunny),Me Acostumbre (feat. Bad Bunny),single,0.808,0.586,10.0,-7.242,0.169,0.641,0.0,0.14,0.568,124.041,263288.0,765035383.0,3431361.0,91522.0,Latin,3730000.0
20,20,Luan Santana,9,Man,country,6,Brazil,SOLTEIROU - Ao Vivo,LUAN CITY DELUXE (Ao Vivo),album,0.681,0.807,1.0,-5.9,0.0693,0.121,0.0,0.87,0.633,134.12,148549.0,11053053.0,57136.0,2605.0,Country,230000.0
21,21,Luan Santana,9,Man,country,6,Brazil,ABALO EMOCIONAL - Ao Vivo,LUAN CITY (Ao Vivo),album,0.441,0.915,3.0,-4.096,0.112,0.306,0.0,0.252,0.726,185.936,153226.0,103628631.0,533073.0,11091.0,Country,230000.0
