Weight,Name,Source,Target
2,21 Savage,21 Savage,A$AP Rocky
3,21 Savage,21 Savage,Bad Bunny
1,21 Savage,21 Savage,Blxst
2,21 Savage,21 Savage,Burna Boy
1,21 Savage,21 Savage,Calvin Harris
2,21 Savage,21 Savage,Cardi B
1,21 Savage,21 Savage,Childish Gambino
5,21 Savage,21 Savage,DJ Khaled
3,21 Savage,21 Savage,DaBaby
1,21 Savage,21 Savage,Don Toliver
16,21 Savage,21 Savage,Drake
3,21 Savage,21 Savage,Farruko
1,21 Savage,21 Savage,Fireboy DML
4,21 Savage,21 Savage,Future
2,21 Savage,21 Savage,Gunna
1,21 Savage,21 Savage,J. Cole
1,21 Savage,21 Savage,JID
1,21 Savage,21 Savage,Juicy J
1,21 Savage,21 Savage,Justin Bieber
1,21 Savage,21 Savage,King Von
2,21 Savage,21 Savage,Kodak Black
6,21 Savage,21 Savage,Lil Durk
8,21 Savage,21 Savage,Lil Uzi Vert
1,21 Savage,21 Savage,Lil Wayne
1,21 Savage,21 Savage,NAV
1,21 Savage,21 Savage,Nicki Minaj
1,21 Savage,21 Savage,Pharrell Williams
2,21 Savage,21 Savage,Playboi Carti
2,21 Savage,21 Savage,Post Malone
1,21 Savage,21 Savage,Project Pat
2,21 Savage,21 Savage,Roddy Ricch
1,21 Savage,21 Savage,Rvssian
1,21 Savage,21 Savage,SZA
2,21 Savage,21 Savage,Southside
2,21 Savage,21 Savage,Summer Walker
1,21 Savage,21 Savage,The Game
3,21 Savage,21 Savage,The Weeknd
1,21 Savage,21 Savage,Tiësto
12,21 Savage,21 Savage,Travis Scott
1,21 Savage,21 Savage,Tyga
8,21 Savage,21 Savage,XXXTENTACION
14,21 Savage,21 Savage,Young Thug
2,21 Savage,21 Savage,YoungBoy Never Broke Again
1,24kGoldn,24kGoldn,Anitta
1,24kGoldn,24kGoldn,Cardi B
1,24kGoldn,24kGoldn,DaBaby
1,24kGoldn,24kGoldn,Future
1,24kGoldn,24kGoldn,J Balvin
1,24kGoldn,24kGoldn,Jack Harlow
1,24kGoldn,24kGoldn,Justin Bieber
1,24kGoldn,24kGoldn,Lil Tjay
1,24kGoldn,24kGoldn,Lil Wayne
1,24kGoldn,24kGoldn,Swae Lee
2,24kGoldn,24kGoldn,Wiz Khalifa
1,24kGoldn,24kGoldn,blackbear
2,24kGoldn,24kGoldn,iann dior
1,50 Cent,50 Cent,Alicia Keys
4,50 Cent,50 Cent,Beyoncé
1,50 Cent,50 Cent,Black Eyed Peas
4,50 Cent,50 Cent,Chris Brown
34,50 Cent,50 Cent,Dr. Dre
1,50 Cent,50 Cent,Drake
1,50 Cent,50 Cent,Ed Sheeran
110,50 Cent,50 Cent,Eminem
1,50 Cent,50 Cent,Ghostface Killah
1,50 Cent,50 Cent,J. Cole
6,50 Cent,50 Cent,Justin Timberlake
3,50 Cent,50 Cent,Kanye West
1,50 Cent,50 Cent,Kendrick Lamar
2,50 Cent,50 Cent,Lil Wayne
20,50 Cent,50 Cent,Nate Dogg
1,50 Cent,50 Cent,Pharrell Williams
1,50 Cent,50 Cent,Post Malone
1,50 Cent,50 Cent,Pusha T
1,50 Cent,50 Cent,Queen
1,50 Cent,50 Cent,Roddy Ricch
1,50 Cent,50 Cent,SZA
9,50 Cent,50 Cent,Sean Paul
12,50 Cent,50 Cent,Snoop Dogg
26,50 Cent,50 Cent,The Game
1,50 Cent,50 Cent,Tyga
2,50 Cent,50 Cent,Wiz Khalifa
2,A$AP Rocky,A$AP Rocky,Alicia Keys
1,A$AP Rocky,A$AP Rocky,Brent Faiyaz
1,A$AP Rocky,A$AP Rocky,Cardi B
1,A$AP Rocky,A$AP Rocky,Chris Brown
1,A$AP Rocky,A$AP Rocky,DJ Khaled
5,A$AP Rocky,A$AP Rocky,Drake
1,A$AP Rocky,A$AP Rocky,Fivio Foreign
3,A$AP Rocky,A$AP Rocky,Frank Ocean
2,A$AP Rocky,A$AP Rocky,Future
1,A$AP Rocky,A$AP Rocky,Gesaffelstein
1,A$AP Rocky,A$AP Rocky,J. Cole
12,A$AP Rocky,A$AP Rocky,Juicy J
1,A$AP Rocky,A$AP Rocky,Justin Timberlake
4,A$AP Rocky,A$AP Rocky,Kanye West
5,A$AP Rocky,A$AP Rocky,Kendrick Lamar
1,A$AP Rocky,A$AP Rocky,Kodak Black
3,A$AP Rocky,A$AP Rocky,Lana Del Rey
3,A$AP Rocky,A$AP Rocky,Lil Uzi Vert
2,A$AP Rocky,A$AP Rocky,Lil Wayne
1,A$AP Rocky,A$AP Rocky,Maroon 5
1,A$AP Rocky,A$AP Rocky,Nicki Minaj
2,A$AP Rocky,A$AP Rocky,Pharrell Williams
12,A$AP Rocky,A$AP Rocky,Playboi Carti
1,A$AP Rocky,A$AP Rocky,Post Malone
3,A$AP Rocky,A$AP Rocky,Project Pat
1,A$AP Rocky,A$AP Rocky,Pusha T
1,A$AP Rocky,A$AP Rocky,Snoop Dogg
1,A$AP Rocky,A$AP Rocky,Swedish House Mafia
1,A$AP Rocky,A$AP Rocky,The Game
1,A$AP Rocky,A$AP Rocky,The Weeknd
1,A$AP Rocky,A$AP Rocky,Tyga
1,A$AP Rocky,A$AP Rocky,Wiz Khalifa
1,A$AP Rocky,A$AP Rocky,Young Thug
1,Abhir Hathi,Abhir Hathi,Bejo
5,Abhir Hathi,Abhir Hathi,Cruz Cafuné
1,Abhir Hathi,Abhir Hathi,EL IMA
1,Abhir Hathi,Abhir Hathi,Juseph
1,Abhir Hathi,Abhir Hathi,La Pantera
1,Abhir Hathi,Abhir Hathi,Quevedo
3,Adassa,Adassa,Carolina Gaitán
3,Adassa,Adassa,Diane Guerrero
1,Adassa,Adassa,Maluma
3,Adassa,Adassa,Mauro Castillo
1,Adassa,Adassa,Olga Merediz
3,Adassa,Adassa,Rhenzy Feliz
3,Adassa,Adassa,Snoop Dogg
4,Adassa,Adassa,Stephanie Beatriz
1,Adele,Adele,Alesso
1,Adele,Adele,Ariana Grande
1,Adele,Adele,Beyoncé
1,Adele,Adele,Childish Gambino
1,Adele,Adele,Justin Bieber
1,Adele,Adele,Katy Perry
1,Adele,Adele,Lady Gaga
1,Adele,Adele,Lizzo
1,Adele,Adele,Tyga
1,Aitana,Aitana,Katy Perry
1,Aitana,Aitana,Luísa Sonza
2,Aitana,Aitana,Morat
1,Aitana,Aitana,Nicki Nicole
2,Aitana,Aitana,Sebastián Yatra
1,Aitana,Aitana,TINI
1,Aitana,Aitana,Álvaro Díaz
1,Ak4:20,Ak4:20,Duki
1,Ak4:20,Ak4:20,Feid
1,Ak4:20,Ak4:20,Juhn
2,Alesso,Alesso,Anitta
3,Alesso,Alesso,Calvin Harris
1,Alesso,Alesso,David Guetta
1,Alesso,Alesso,Justin Bieber
2,Alesso,Alesso,Katy Perry
2,Alesso,Alesso,Maroon 5
2,Alesso,Alesso,Marshmello
7,Alesso,Alesso,OneRepublic
1,Alesso,Alesso,Swedish House Mafia
1,Alesso,Alesso,TINI
1,Alicia Keys,Alicia Keys,Avicii
6,Alicia Keys,Alicia Keys,Beyoncé
2,Alicia Keys,Alicia Keys,Brent Faiyaz
1,Alicia Keys,Alicia Keys,Chris Brown
1,Alicia Keys,Alicia Keys,Coldplay
1,Alicia Keys,Alicia Keys,DJ Khaled
1,Alicia Keys,Alicia Keys,Dr. Dre
3,Alicia Keys,Alicia Keys,Drake
1,Alicia Keys,Alicia Keys,Ed Sheeran
1,Alicia Keys,Alicia Keys,Elton John
3,Alicia Keys,Alicia Keys,Eminem
1,Alicia Keys,Alicia Keys,Farruko
1,Alicia Keys,Alicia Keys,Fivio Foreign
1,Alicia Keys,Alicia Keys,John Legend
2,Alicia Keys,Alicia Keys,Justin Timberlake
2,Alicia Keys,Alicia Keys,Kanye West
3,Alicia Keys,Alicia Keys,Kendrick Lamar
2,Alicia Keys,Alicia Keys,Khalid
1,Alicia Keys,Alicia Keys,Lil Durk
1,Alicia Keys,Alicia Keys,Lil Wayne
1,Alicia Keys,Alicia Keys,Maroon 5
4,Alicia Keys,Alicia Keys,Nicki Minaj
4,Alicia Keys,Alicia Keys,Pharrell Williams
1,Alicia Keys,Alicia Keys,Pusha T
1,Alicia Keys,Alicia Keys,Sampha
1,Alicia Keys,Alicia Keys,Shakira
1,Alicia Keys,Alicia Keys,Snoop Dogg
1,Alicia Keys,Alicia Keys,Swae Lee
4,Alonzo,Alonzo,Ninho
1,Alonzo,Alonzo,Sofía Reyes
1,Amaarae,Amaarae,BEAM
1,Amaarae,Amaarae,CKay
1,Amaarae,Amaarae,Kali Uchis
1,Ana Castela,Ana Castela,Wesley Safadão
1,Ana Castela,Ana Castela,Zé Felipe
1,Anderson .Paak,Anderson .Paak,Bruno Mars
1,Anderson .Paak,Anderson .Paak,Chris Brown
2,Anderson .Paak,Anderson .Paak,Doja Cat
10,Anderson .Paak,Anderson .Paak,Dr. Dre
2,Anderson .Paak,Anderson .Paak,Eminem
1,Anderson .Paak,Anderson .Paak,J. Cole
1,Anderson .Paak,Anderson .Paak,JID
1,Anderson .Paak,Anderson .Paak,Jay Rock
8,Anderson .Paak,Anderson .Paak,Justin Timberlake
2,Anderson .Paak,Anderson .Paak,Kanye West
2,Anderson .Paak,Anderson .Paak,Kendrick Lamar
2,Anderson .Paak,Anderson .Paak,Mac Miller
1,Anderson .Paak,Anderson .Paak,Macklemore & Ryan Lewis
1,Anderson .Paak,Anderson .Paak,Nate Dogg
1,Anderson .Paak,Anderson .Paak,Pusha T
3,Anderson .Paak,Anderson .Paak,Snoop Dogg
4,Anderson .Paak,Anderson .Paak,The Game
1,Anitta,Anitta,BEAM
2,Anitta,Anitta,Becky G
3,Anitta,Anitta,Black Eyed Peas
1,Anitta,Anitta,Cardi B
1,Anitta,Anitta,Chencho Corleone
1,Anitta,Anitta,DJ Gabriel do Borel
1,Anitta,Anitta,DaBaby
1,Anitta,Anitta,Dalex
1,Anitta,Anitta,Duki
2,Anitta,Anitta,Dímelo Flow
1,Anitta,Anitta,Farruko
5,Anitta,Anitta,J Balvin
2,Anitta,Anitta,Justin Quiles
1,Anitta,Anitta,Khalid
1,Anitta,Anitta,L7NNON
1,Anitta,Anitta,Lenny Tavárez
1,Anitta,Anitta,Luan Santana
1,Anitta,Anitta,Lunay
2,Anitta,Anitta,Luísa Sonza
1,Anitta,Anitta,MC Danny
1,Anitta,Anitta,MC Pedrinho
1,Anitta,Anitta,Maiara & Maraisa
3,Anitta,Anitta,Maluma
